articul;category_path;name;txt;price;price_min;price_max;discount_formula;hide;recom;flag;to_xml;installation;gift_articul;gift_end_date;admin;p_tip;p_vid;p_svetovoj_potok;p_sila_toka;p_visota_plafona;p_srok_garantii;p_forma;p_koefficient_moschnosti;p_srok_sluzhbi;p_tip_rasseivatelya;p_ugol_osvescheniya;p_ekvivalentnaya_moschnost;p_cvet_plafona;p_cvet_osnovi;p_geometriya;p_visota;p_shirina;p_diametr;p_dlina;p_glubina;p_glubina_vrezki;p_diametr_vrezki;p_kolichestvo_lamp;p_moschnost_odnoj_lampi;p_tip_cokolya;p_stepen_vlagozaschiti;p_komplektnost_lampi;p_seriya;p_cvetovaya_temperatura;p_material_plafona;p_material_osnovi;p_srok_dostavki;p_proizvoditel
Nowodvorski_4846;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 4846 Melar";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4846</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">24cm</span><br /> <span class=""deep"">29cm</span><br /> </span></div></div>";892;713;892;5%;0;0;0;1;45;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;24;;;;29;;;1;;;IP20;;Melar;;Стекло;;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_485;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 485 Plomyk";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>485</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>2</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">42cm</span><br /> <span class=""deep"">15cm</span><br /> </span></div></div>";673;538;673;;0;0;0;1;0;;00.00.0000;;"Настенные светильники;Недорогие;Свечи";"Бра и подсветки";;;;;;;;;;;;;;42;;;;15;;;2;;;IP20;;Plomyk;;;Металл;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_4908;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 4908 Vermont";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4908</span></div><div><label>Источник света:</label> <span>G9</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>40W</span></div><div><label>Источник света:</label> <span>содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">33cm</span><br /> <span class=""deep"">13cm</span><br /> </span></div></div>";592;473;562;;0;0;0;1;45;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;33;;;;13;;;1;;;IP20;;Vermont;;Стекло;Металл;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_4931;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 4931 Taba Ecru";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4931</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">35cm</span><br /> <span class=""deep"">25cm</span><br /> </span></div></div>";818;654;818;;0;0;0;1;0;Nowodvorski_6895;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;35;;;;25;;;1;;;IP20;;"Taba Ecru";;Ткань;Дерево;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_4935;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 4935 Sakai Contrastampo";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4935</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">46cm</span><br /> <span class=""deep"">20cm</span><br /> </span></div></div>";1165;932;1165;1%;0;0;0;1;0;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;46;;;;;;;1;;;IP20;;"Sakai Contrastampo";;Ткань;;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_4941;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 4941 Manhattan Laura";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4941</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">35cm</span><br /> <span class=""deep"">24cm</span><br /> </span></div></div>";837;669;837;;0;0;0;1;0;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;35;;;;24;;;1;;;IP20;;"Manhattan Laura";;Ткань;;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_4958;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 4958 Alice Gold";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4958</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">42cm</span><br /> <span class=""deep"">45cm</span><br /> <span class=""lampshade-height"">16cm</span><br /> </span></div></div>";1374;1099;1374;44;0;0;0;1;0;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;42;;;;45;;;1;;;IP20;;"Alice Gold";;Ткань;Металл;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_4981;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 4981 Twist";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4981</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>2</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""width"">34cm</span><br /> <span class=""deep"">24cm</span><br /> </span></div></div>";764;611;764;7ip;0;0;0;1;45;Nowodvorski_6895;00.00.0000;;"Настенные светильники;Свечи";"Бра и подсветки";;;;;;;;;;;;;;;34;;;24;;;2;;;IP20;;Twist;;;Металл;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_5050;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 5050 Loft Antique Ecru";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>5050</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""deep"">45cm</span><br /> <span class=""fi"">34cm</span><br /> </span></div></div>";1374;1099;1374;1%;0;0;0;1;45;Nowodvorski_6895;20.11.2001;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;;;34;;45;;;1;;;IP20;;"Loft Antique Ecru";;Металл;Металл;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_5054;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 5054 Loft Taupe";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>5054</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""deep"">45cm</span><br /> <span class=""fi"">34cm</span><br /> </span></div></div>";1374;1099;1305;27;0;0;0;1;0;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;;;34;;45;;;1;;;IP20;;"Loft Taupe";;Металл;Металл;"2-4 недели";"Nowodvorski (Польша)"
