articul;category_path;name;txt;price;price_min;price_max;discount_formula;hide;recom;flag;to_xml;installation;gift_articul;gift_end_date;admin;p_tip;p_vid;p_svetovoj_potok;p_sila_toka;p_visota_plafona;p_srok_garantii;p_forma;p_koefficient_moschnosti;p_srok_sluzhbi;p_tip_rasseivatelya;p_ugol_osvescheniya;p_ekvivalentnaya_moschnost;p_cvet_plafona;p_cvet_osnovi;p_geometriya;p_visota;p_shirina;p_diametr;p_dlina;p_glubina;p_glubina_vrezki;p_diametr_vrezki;p_kolichestvo_lamp;p_moschnost_odnoj_lampi;p_tip_cokolya;p_stepen_vlagozaschiti;p_komplektnost_lampi;p_seriya;p_cvetovaya_temperatura;p_material_plafona;p_material_osnovi;p_srok_dostavki;p_proizvoditel
Alfa_10040;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10040 Ewa jasna";"<p>Диаметр: 180 mm<br /> Высота: 240 mm<br /> 1 x E14 max 40W</p>";592;474;563;1%ipN;0;0;0;1;45;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;24;;;18;;;;1;;;IP20;;"Ewa jasna";;Ткань;;"4-6 недели";"Alfa (Польша)"
Alfa_10250;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10250 Bambus";"<p>Диаметр: 180 mm<br /> Высота: 220 mm<br /> 1 x E14 max 40W</p>";698;558;698;4ip;0;0;0;1;45;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;22;;;18;;;;1;;;IP20;;Bambus;;;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_10330;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10330 Ewa venge";"<p>Диаметр: 180 mm<br /> Высота: 240 mm<br /> 1 x E14 max 40W</p>";624;499;624;27ip;0;0;0;1;0;Nowodvorski_6895;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;24;;;18;;;;1;;;IP20;;"Ewa venge";;Ткань;;"4-6 недели";"Alfa (Польша)"
Alfa_10440;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10440 Lord";"<p>Диаметр: 300 mm<br /> Высота: 240 mm<br /> 1 x E27 max 60W</p>";740;592;740;3%;0;0;0;1;0;;00.00.0000;;"Классические;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;24;;;30;;;;1;;;IP20;;Lord;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_10650;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10650 Witra";"<p>Диаметр: 180 mm<br /> Высота: 220 mm<br /> 1 x E14 max 40W</p>";613;491;583;4%N;0;0;0;1;45;Nowodvorski_6895;20.11.2001;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;22;;;18;;;;1;;;IP20;;Witra;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_10660;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10660 Eco venge";"<p>Диаметр: 200 mm<br /> Высота: 200 mm<br /> 1 x E27 max 60W</p>";645;516;613;;0;0;0;1;45;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;20;;;20;;;;1;;;IP20;;"Eco venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_1071;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 1071 Eco";"<p>Диаметр: 200 mm<br /> Высота: 200 mm<br /> 1 x E27 max 60W</p>";645;516;613;8%;0;0;0;1;45;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;20;;;20;;;;1;;;IP20;;Eco;;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_10750;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10750 Braga";"<p>Диаметр: 270 mm<br /> Высота: 300 mm<br /> 1 x E14 max 40W</p>";529;423;529;20%N;0;0;0;1;0;Nowodvorski_6895;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;30;;;27;;;;1;;;IP20;;Braga;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_10770;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10770 Praga antic";"<p>Диаметр: 270 mm<br /> Высота: 220 mm<br /> 1 x E27 max 60W</p>";613;491;613;6%ipN;0;0;0;1;45;;00.00.0000;;"Классические;Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;22;;;27;;;;1;;;IP20;;"Praga antic";;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_10900;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10900 Prestige";"<p>Диаметр: 300 mm<br /> Высота: 240 mm<br /> 1 x E27 max 60W</p>";740;592;703;;0;0;0;1;45;Nowodvorski_6895;00.00.0000;;"Классические;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;24;;;30;;;;1;;;IP20;;Prestige;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_11260;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 11260 Creo";"<p>Диаметр: 260 mm<br /> Высота: 310 mm<br /> 1 x E27 max 60W</p>";740;592;703;7%;0;0;0;1;0;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;31;;;26;;;;1;;;IP20;;Creo;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_11500;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 11500 Sikorka venge";"<p>Диаметр: 190 mm<br /> Высота: 260 mm<br /> 1 x E14 max 40W</p>";687;550;687;;0;0;0;1;0;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;26;;;19;;;;1;;;IP20;;"Sikorka venge";;;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_11510;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 11510 o venge";"<p>Диаметр: 230 mm<br /> Высота: 220 mm<br /> 1 x E27 max 60W</p>";613;491;613;6%;0;0;0;1;45;;00.00.0000;;"Классические;Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;22;;;23;;;;1;;;IP20;;"o venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_11520;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 11520 Kozioek venge";"<p>Диаметр: 200 mm<br /> Высота: 220 mm<br /> 1 x E27 max 60W</p>";613;491;613;25;0;0;0;1;0;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;22;;;20;;;;1;;;IP20;;"Kozioek venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_11630;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 11630 Bali premium";"<p>Диаметр: 250 mm<br /> Высота: 280 mm<br /> 1 x E14 max 40W</p>";529;423;502;;0;0;0;1;45;;00.00.0000;;"Классические;Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;28;;;25;;;;1;;;IP20;;"Bali premium";;Ткань;;"4-6 недели";"Alfa (Польша)"
Alfa_117;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 117 Ice";"<p>Диаметр: 130 mm<br /> Высота: 210 mm<br /> 1 x E27 max 60W</p>";571;457;571;;0;0;0;1;0;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;21;;;13;;;;1;;;IP20;;Ice;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_12030;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 12030 Paja";"<p>Диаметр: 200 mm<br /> Высота: 240 mm<br /> 1 x E14 max 40W</p>";740;592;740;;0;0;0;1;45;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;24;;;20;;;;1;;;IP20;;Paja;;Ткань;;"4-6 недели";"Alfa (Польша)"
Alfa_12293;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 12293 Satellite";"<p>Диаметр: 210 mm<br /> Высота: 280 mm<br /> 2 x G4 max 20W</p>";3482;2785;3482;92N;0;0;0;1;0;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;28;21;;21;;;;2;;;IP20;;Satellite;;;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_12330;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 12330 Rivera";"<p>Диаметр: 190 mm<br /> Высота: 190 mm<br /> 1 x E14 max 40W</p>";793;635;793;26N;0;0;0;1;45;Nowodvorski_6895;20.11.2001;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;19;;;19;;;;1;;;IP20;;Rivera;;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_12580;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 12580 Neva nikiel";"<p>Диаметр: 125 mm<br /> Высота: 315 mm<br /> 1 x E27 max 60W</p>";1238;990;1176;;0;0;0;1;45;Nowodvorski_6895;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;31,5;13;;12,5;;;;1;;;IP20;;"Neva nikiel";;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_12590;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 12590 Carlo";"<p>Диаметр: 190 mm<br /> Высота: 240 mm<br /> 1 x E14 max 40W</p>";804;643;764;5ip;0;0;0;1;0;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;24;;;19;;;;1;;;IP20;;Carlo;;Стекло;Дерево;"4-6 недели";"Alfa (Польша)"
Alfa_12690;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 12690 Nero";"<p>Диаметр: 280 mm<br /> Высота: 400 mm<br /> 1 x E14 max 40W</p>";1111;889;1111;4N;0;0;0;1;0;;00.00.0000;;"Настенные светильники;Свечи";"Бра и подсветки";;;;;;;;;;;;;;40;;;28;;;;1;;;IP20;;Nero;;;;"4-6 недели";"Alfa (Польша)"
Alfa_12720;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 12720 Classico";"<p>Диаметр: 345 mm<br /> Высота: 260 mm<br /> 1 x E27 max 60W</p>";1079;863;1025;3%;0;0;0;1;45;;00.00.0000;;"Классические;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;26;;;34,5;;;;1;;;IP20;;Classico;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_12730;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 12730 Diamante";"<p>Диаметр: 330 mm<br /> Высота: 290 mm<br /> 1 x E27 max 60W</p>";1121;897;1065;;0;0;0;1;45;;00.00.0000;;"Классические;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;29;;;33;;;;1;;;IP20;;Diamante;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_12910;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 12910 Tequila";"<p>Диаметр: 240 mm<br /> Высота: 360 mm<br /> 1 x E27 max 60W</p>";1058;846;1058;22;0;0;0;1;45;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;36;;;24;;;;1;;;IP20;;Tequila;;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_13000;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13000 Natalia";"<p>Диаметр: 190 mm<br /> Высота: 220 mm<br /> 1 x E27 max 60W</p>";740;592;740;;0;0;0;1;45;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;22;;;19;;;;1;;;IP20;;Natalia;;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_13050;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13050 Auri";"<p>Диаметр: 170 mm<br /> Высота: 250 mm<br /> 1 x E14 max 40W</p>";825;660;825;8N;0;0;0;1;45;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;25;;;17;;;;1;;;IP20;;Auri;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_13060;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13060 Madi";"<p>Диаметр: 170 mm<br /> Высота: 250 mm<br /> 1 x E14 max 40W</p>";825;660;784;11%ipN;0;0;0;1;45;Nowodvorski_6895;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;25;;;17;;;;1;;;IP20;;Madi;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_13140;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13140 Genua";"<p>Диаметр: 210 mm<br /> Высота: 220 mm<br /> 1 x E14 max 40W</p>";994;795;945;11;0;0;0;1;0;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;22;;;21;;;;1;;;IP20;;Genua;;Стекло;Дерево;"4-6 недели";"Alfa (Польша)"
Alfa_13150;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13150 Palmira black";"<p>Диаметр: 540 mm<br /> Высота: 370 mm<br /> 1 x E14 max 40W</p>";1068;855;1068;21;0;0;0;1;0;;00.00.0000;;"Настенные светильники;Свечи";"Бра и подсветки";;;;;;;;;;;;;;37;;;54;;;;1;;;IP20;;"Palmira black";;;;"4-6 недели";"Alfa (Польша)"
Alfa_13200;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13200 Eliza";"<p>Диаметр: 200 mm<br /> Высота: 240 mm<br /> 1 x E14 max 40W</p>";677;541;643;8%N;0;0;0;1;0;Nowodvorski_6895;20.11.2001;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;24;;;20;;;;1;;;IP20;;Eliza;;Ткань;;"4-6 недели";"Alfa (Польша)"
Alfa_13210;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13210 Vivienne";"<p>Диаметр: 155 mm<br /> Высота: 260 mm<br /> 1 x E14 max 40W</p>";508;406;508;23N;0;0;0;1;0;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;26;;;15,5;;;;1;;;IP20;;Vivienne;;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_13240;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13240 Bolt bezbarwny";"<p>Диаметр: 170 mm<br /> Высота: 270 mm<br /> 1 x E27 max 60W</p>";740;592;740;;0;0;0;1;45;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;27;;;17;;;;1;;;IP20;;"Bolt bezbarwny";;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_13250;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13250 Paulinka venge";"<p>Диаметр: 280 mm<br /> Высота: 250 mm<br /> 1 x E27 max 60W</p>";582;465;582;15%ipN;0;0;0;1;0;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;25;;;28;;;;1;;;IP20;;"Paulinka venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_13480;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13480 Ada venge";"<p>Диаметр: 200 mm<br /> Высота: 190 mm<br /> 1 x E14 max 40W</p>";698;558;698;5;0;0;0;1;0;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;19;;;20;;;;1;;;IP20;;"Ada venge";;Ткань;;"4-6 недели";"Alfa (Польша)"
Alfa_13560;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13560 Eli";"<p>Диаметр: 130 mm<br /> Высота: 185 mm<br /> 1 x E14 max 40W</p>";624;499;624;;0;0;0;1;45;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;18,5;;;13;;;;1;;;;;Eli;;;;"4-6 недели";"Alfa (Польша)"
Alfa_13580;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13580 Lex";"<p>Диаметр: 190 mm<br /> Высота: 280 mm<br /> 1 x E27 max 60W</p>";1238;990;1238;5ip;0;0;0;1;0;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;28;;;19;;;;1;;;IP20;;Lex;;Ткань;;"4-6 недели";"Alfa (Польша)"
Alfa_13650;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13650 Abaka be";"<p>Диаметр: 180 mm<br /> Высота: 210 mm<br /> 1 x E14 max 40W</p>";698;558;663;14%ipN;0;0;0;1;0;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;21;;;18;;;;1;;;IP20;;"Abaka be";;Дерево;;"4-6 недели";"Alfa (Польша)"
Alfa_13720;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13720 Bolt malinowy";"<p>Диаметр: 170 mm<br /> Высота: 270 mm<br /> 1 x E27 max 60W</p>";740;592;740;34;0;0;0;1;45;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;27;;;17;;;;1;;;IP20;;"Bolt malinowy";;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_13730;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13730 Bolt pomaraczowy";"<p>Диаметр: 170 mm<br /> Высота: 270 mm<br /> 1 x E27 max 60W</p>";740;592;703;22;0;0;0;1;45;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;27;;;17;;;;1;;;IP20;;"Bolt pomaraczowy";;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_13740;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13740 Bolt zielony";"<p>Диаметр: 170 mm<br /> Высота: 270 mm<br /> 1 x E27 max 60W</p>";740;592;703;;0;0;0;1;0;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;27;;;17;;;;1;;;IP20;;"Bolt zielony";;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_13750;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13750 Bolt niebieski";"<p>Диаметр: 170 mm<br /> Высота: 210 mm<br /> 1 x E27 max 60W</p>";740;592;703;;0;0;0;1;45;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;21;;;17;;;;1;;;IP20;;"Bolt niebieski";;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_13800;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13800 Vincent";"<p>Диаметр: 285 mm<br /> Высота: 280 mm<br /> 1 x E27 max 60W</p>";730;584;730;34ip;0;0;0;1;45;;00.00.0000;;"Классические;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;28;;;28,5;;;;1;;;IP20;;Vincent;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_13870;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13870 Tomi";"<p>Диаметр: 150 mm<br /> Высота: 160 mm<br /> 1 x E14 max 40W</p>";613;491;613;;0;0;0;1;0;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;16;;;15;;;;1;;;IP20;;Tomi;;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_13876;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 13876 Tomi";"<p>Диаметр: 155 mm<br /> Высота: 140 mm<br /> 2 x E14 max 40W</p>";825;660;784;17ip;0;0;0;1;0;Nowodvorski_6895;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;14;;;15,5;;;;2;;;IP20;;Tomi;;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_14290;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 14290 Kelly";"<p>Диаметр: 230 mm<br /> Высота: 270 mm<br /> 1 x E14 max 40W</p>";687;550;687;20N;0;0;0;1;0;Nowodvorski_6895;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;27;;;23;;;;1;;;IP20;;Kelly;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_14400;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 14400 Dros";"<p>Диаметр: 300 mm<br /> Высота: 270 mm<br /> 1 x E27 max 60W</p>";1058;846;1005;6%;0;0;0;1;45;Nowodvorski_6895;20.11.2001;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;27;;;30;;;;1;;;IP20;;Dros;;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_14420;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 14420 Ducatti be";"<p>Диаметр: 140 mm<br /> Высота: 240 mm<br /> 1 x E14 max 40W</p>";402;321;402;12%ipN;0;0;0;1;0;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;24;;;14;;;;1;;;IP20;;"Ducatti be";;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_14430;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 14430 Ducatti brz";"<p>Диаметр: 140 mm<br /> Высота: 240 mm<br /> 1 x E14 max 40W</p>";402;321;402;7%ipN;0;0;0;1;0;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;24;;;14;;;;1;;;IP20;;"Ducatti brz";;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_14440;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 14440 Porto venge";"<p>Диаметр: 240 mm<br /> Высота: 240 mm<br /> 1 x E14 max 40W</p>";423;338;423;13N;0;0;0;1;0;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;24;;;24;;;;1;;;IP20;;"Porto venge";;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_14450;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 14450 Ada venge";"<p>Диаметр: 280 mm<br /> Высота: 200 mm<br /> 1 x E14 max 40W</p>";423;338;402;3%N;0;0;0;1;45;Nowodvorski_6895;20.11.2001;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;20;;;28;;;;1;;;IP20;;"Ada venge";;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_14480;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 14480 Ola venge";"<p>Диаметр: 180 mm<br /> Высота: 240 mm<br /> 1 x E14 max 40W</p>";687;550;653;1%;0;0;0;1;45;Nowodvorski_6895;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;24;;;18;;;;1;;;IP20;;"Ola venge";;Ткань;;"4-6 недели";"Alfa (Польша)"
Alfa_14560;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 14560 Eco silver";"<p>Диаметр: 200 mm<br /> Высота: 200 mm<br /> 1 x E27 max 60W</p>";719;575;683;8%N;0;0;0;1;45;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;20;;;20;;;;1;;;IP20;;"Eco silver";;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_14570;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 14570 Junior";"<p>Диаметр: 230 mm<br /> Высота: 150 mm<br /> 1 x E14 max 40W</p>";698;558;663;21;0;0;0;1;45;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;15;;;23;;;;1;;;IP20;;Junior;;Ткань;;"4-6 недели";"Alfa (Польша)"
Alfa_14610;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 14610 Candel";"<p>Диаметр: 170 mm<br /> Высота: 300 mm<br /> 1 x E14 max 40W</p>";613;491;613;8%;0;0;0;1;45;Nowodvorski_6895;20.11.2001;;"Настенные светильники;Недорогие;Свечи";"Бра и подсветки";;;;;;;;;;;;;;30;;;17;;;;1;;;IP20;;Candel;;;;"4-6 недели";"Alfa (Польша)"
Alfa_14640;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 14640 Junior ecru";"<p>Диаметр: 230 mm<br /> Высота: 150 mm<br /> 1 x E14 max 40W</p>";687;550;687;15%ipN;0;0;0;1;45;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;15;;;23;;;;1;;;IP20;;"Junior ecru";;Ткань;;"4-6 недели";"Alfa (Польша)"
Alfa_14670;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 14670 Kerry";"<p>Диаметр: 170 mm<br /> Высота: 250 mm<br /> 1 x E27 max 60W</p>";0;0;0;3%ipN;0;0;0;1;45;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;25;;;17;;;;1;;;IP20;;Kerry;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_14720;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 14720 Ice venge";"<p>Диаметр: 130 mm<br /> Высота: 210 mm<br /> 1 x E27 max 60W</p>";624;499;593;13N;0;0;0;1;45;Nowodvorski_6895;20.11.2001;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;21;;;13;;;;1;;;IP20;;"Ice venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_14740;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 14740 Pato";"<p>Диаметр: 180 mm<br /> Высота: 150 mm<br /> 1 x G4+LED max 20W</p>";523;419;497;8%;0;0;0;1;45;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;15;;;18;;;;1;;;IP20;;Pato;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_14880;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 14880 Carol";"<p>Диаметр: 220 mm<br /> Высота: 300 mm<br /> 1 x E14 max 40W</p>";677;541;643;3;0;0;0;1;45;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;30;;;22;;;;1;;;IP20;;Carol;;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_14940/Ontario;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 14940 Ontario";"<p>Диаметр: 150 mm<br /> Высота: 80 mm<br /> 1 x E14 max 40W</p>";0;0;0;0ip;0;0;0;1;0;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;8;;;15;;;;1;;;;;Ontario;;;;"4-6 недели";"Alfa (Польша)"
