id;name;name_seo;supplier;available;avail_text;recom
3480;Eglo 90257 My Choice;Eglo 90257 My Choice;Поставщик;0;Нет в наличии;0
3481;Eglo 90259 My Choice;Eglo 90259 My Choice;Поставщик;0;Нет в наличии;0
3482;Eglo 90261 My Choice;Eglo 90261 My Choice;Поставщик;0;Нет в наличии;0
3483;Eglo 90263 My Choice;Eglo 90263 My Choice;Поставщик;0;Нет в наличии;0
3484;Eglo 90264 My Choice;Eglo 90264 My Choice;Поставщик;0;Нет в наличии;0
3485;Eglo 90265 My Choice;Eglo 90265 My Choice;Поставщик;0;Нет в наличии;0
3486;Eglo 90266 My Choice;Eglo 90266 My Choice;Поставщик;0;Нет в наличии;0
3487;Eglo 90267 My Choice;Eglo 90267 My Choice;Поставщик;0;Нет в наличии;0
3488;Eglo 90268 My Choice;Eglo 90268 My Choice;Поставщик;0;Нет в наличии;0
3836;Eglo 91317 My Choice;Eglo 91317 My Choice;Поставщик;0;Нет в наличии;0
4269;Eglo 92404 My Choice;Eglo 92404 My Choice;Поставщик;0;Нет в наличии;0
4270;Eglo 92405 My Choice;Eglo 92405 My Choice;Поставщик;0;Нет в наличии;0
4271;Eglo 92406 My Choice;Eglo 92406 My Choice;Поставщик;0;Нет в наличии;0
4272;Eglo 92407 My Choice;Eglo 92407 My Choice;Поставщик;0;Нет в наличии;0
4273;Eglo 92408 My Choice;Eglo 92408 My Choice;Поставщик;0;Нет в наличии;0
4274;Eglo 92409 My Choice;Eglo 92409 My Choice;Поставщик;0;Нет в наличии;0
4275;Eglo 92411 My Choice;Eglo 92411 My Choice;Поставщик;0;Нет в наличии;0
4276;Eglo 92412 My Choice;Eglo 92412 My Choice;Поставщик;0;Нет в наличии;0
4277;Eglo 92413 My Choice;Eglo 92413 My Choice;Поставщик;0;Нет в наличии;0
4278;Eglo 92414 My Choice;Eglo 92414 My Choice;Поставщик;0;Нет в наличии;0
4279;Eglo 92415 My Choice;Eglo 92415 My Choice;Поставщик;0;Нет в наличии;0
4280;Eglo 92416 My Choice;Eglo 92416 My Choice;Поставщик;0;Нет в наличии;0
4281;Eglo 92417 My Choice;Eglo 92417 My Choice;Поставщик;0;Нет в наличии;0
4282;Eglo 92418 My Choice;Eglo 92418 My Choice;Поставщик;0;Нет в наличии;0
4283;Eglo 92419 My Choice;Eglo 92419 My Choice;Поставщик;0;Нет в наличии;0
4284;Eglo 92421 My Choice;Eglo 92421 My Choice;Поставщик;0;Нет в наличии;0
4285;Eglo 92422 My Choice;Eglo 92422 My Choice;Поставщик;0;Нет в наличии;0
4286;Eglo 92423 My Choice;Eglo 92423 My Choice;Поставщик;0;Нет в наличии;0
4287;Eglo 92424 My Choice;Eglo 92424 My Choice;Поставщик;0;Нет в наличии;0
4288;Eglo 92425 My Choice;Eglo 92425 My Choice;Поставщик;0;Нет в наличии;0
4289;Eglo 92426 My Choice;Eglo 92426 My Choice;Поставщик;0;Нет в наличии;0
4290;Eglo 92427 My Choice;Eglo 92427 My Choice;Поставщик;0;Нет в наличии;0
4291;Eglo 92428 My Choice;Eglo 92428 My Choice;Поставщик;0;Нет в наличии;0
4292;Eglo 92429 My Choice;Eglo 92429 My Choice;Поставщик;0;Нет в наличии;0
4293;Eglo 92431 My Choice;Eglo 92431 My Choice;Поставщик;0;Нет в наличии;0
4294;Eglo 92432 My Choice;Eglo 92432 My Choice;Поставщик;0;Нет в наличии;0
4295;Eglo 92433 My Choice;Eglo 92433 My Choice;Поставщик;0;Нет в наличии;0
4296;Eglo 92434 My Choice;Eglo 92434 My Choice;Поставщик;0;Нет в наличии;0
4297;Eglo 92435 My Choice;Eglo 92435 My Choice;Поставщик;0;Нет в наличии;0
4298;Eglo 92436 My Choice;Eglo 92436 My Choice;Поставщик;0;Нет в наличии;0
4299;Eglo 92438 My Choice;Eglo 92438 My Choice;Поставщик;0;Нет в наличии;0
