id;name;supplier;brand;image
4282;"Eglo 92418 My Choice";Поставщик;;
4283;"Eglo 92419 My Choice";Поставщик;;
4284;"Eglo 92421 My Choice";Поставщик;;
4285;"Eglo 92422 My Choice";Поставщик;;
4286;"Eglo 92423 My Choice";Поставщик;;
4287;"Eglo 92424 My Choice";Поставщик;;
4288;"Eglo 92425 My Choice";Поставщик;;
4289;"Eglo 92426 My Choice";Поставщик;;
4290;"Eglo 92427 My Choice";Поставщик;;
4291;"Eglo 92428 My Choice";Поставщик;;
4292;"Eglo 92429 My Choice";Поставщик;;
4293;"Eglo 92431 My Choice";Поставщик;;
4294;"Eglo 92432 My Choice";Поставщик;;
4295;"Eglo 92433 My Choice";Поставщик;;
4296;"Eglo 92434 My Choice";Поставщик;;
4297;"Eglo 92435 My Choice";Поставщик;;
4298;"Eglo 92436 My Choice";Поставщик;;
4299;"Eglo 92438 My Choice";Поставщик;;
4300;"Eglo 92439 My Choice";Поставщик;;
4301;"Eglo 92441 My Choice";Поставщик;;
4302;"Eglo 92442 My Choice";Поставщик;;
4303;"Eglo 92443 My Choice";Поставщик;;
4304;"Eglo 92444 My Choice";Test1;;
4305;"Eglo 92445 My Choice";Test1;;
4306;"Eglo 92446 My Choice";Test1;;
4500;"Eglo 92866 My Choice";Test1;;
4501;"Eglo 92867 My Choice";Test1;;
4502;"Eglo 92868 My Choice";Test1;;
4503;"Eglo 92871 My Choice";Test1;;
7002;"Nowodvorski 4948 Abazur";Test1;;http://test15.digitalforce.ua/images/catalog_products/7/catalog_products.7002.1.b.jpg
2096;"Eglo 49402 Vintage";Test1;;http://test15.digitalforce.ua/images/catalog_products/2/catalog_products.2096.1.b.jpg
